114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;4;16:30 - 19:20;15;;16:34;;19:19;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Железнодорожная станция Дема;-;5;19:30 - 21:35;20;;19:34;;21:34;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;2;07:35 - 09:55;15;;07:35;;09:50;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;3;10:05 - 16:20;20;;10:05;;16:15;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;4;16:35 - 19:25;15;;16:35;;19:20;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Демский энергоучасток;-;5;19:35 - 21:40;20;;19:35;;21:35;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;2;07:35 - 09:55;15;;07:36;;09:51;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;3;10:05 - 16:20;20;;10:06;;16:16;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;4;16:35 - 19:25;15;;16:36;;19:21;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;5;19:35 - 21:40;20;;19:36;;21:36;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;2;07:35 - 09:55;15;;07:37;;09:52;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;3;10:05 - 16:20;20;;10:07;;16:17;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;4;16:35 - 19:25;15;;16:37;;19:22;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;5;19:35 - 21:40;20;;19:37;;21:37;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;2;07:35 - 09:55;15;;07:37;;09:52;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;3;10:05 - 16:20;20;;10:07;;16:17;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;4;16:35 - 19:25;15;;16:37;;19:22;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;5;19:35 - 21:40;20;;19:37;;21:37;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;2;07:35 - 09:55;15;;07:37;;09:52;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;3;10:05 - 16:20;20;;10:07;;16:17;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;4;16:35 - 19:25;15;;16:37;;19:22;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;5;19:35 - 21:40;20;;19:37;;21:37;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;2;07:35 - 09:55;15;;07:38;;09:53;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;3;10:05 - 16:20;20;;10:08;;16:18;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;4;16:35 - 19:25;15;;16:38;;19:23;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;5;19:35 - 21:40;20;;19:38;;21:38;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;2;07:35 - 09:55;15;;07:38;;09:53;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;3;10:05 - 16:20;20;;10:08;;16:18;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;4;16:35 - 19:25;15;;16:38;;19:23;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;5;19:35 - 21:40;20;;19:38;;21:38;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;пов. на Жуково;-;2;07:40 - 10:00;15;;07:42;;09:57;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;пов. на Жуково;-;3;10:10 - 16:25;20;;10:12;;16:22;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;пов. на Жуково;-;4;16:40 - 19:30;15;;16:42;;19:27;
