Персп 2П 313 к Уфа (Южный АВ) - с. Красный Яр;30;47
Персп 2П 357 Стерлитамак (Колх. Рынок) - д. Муравей;25;44,3
Персп 2П 358 Стерлитамак (Автовокзал) - Колхозный рынок - Загородный - д. Байрак;25;118,2
Персп 2П 391 Уфа (Южный АВ) - Николаевка;33;62,6
Персп 2П Уфа (Мега) - Сады Ново-Осоргино (Уфимский район);32;43
Персп 2П Уфа (Мега) - Село Сихонкино;35;43
Персп 2П Уфа (Мега) - Село Теперишево;46;55,8
Персп 2П Уфа (Северный АВ) - Деревня Верный;27;43
Персп 2П Уфа (Северный АВ) - Тугай;35;48,2
Персп Белорецк - Межгорье;41;43,2
Персп Дюртюли - Бураево;42;46,6
Персп Новобелокатай - Месягутово;49;50,6
Персп Старосубхангулово - Белорецк;41,2;43
Персп Стерлитамак - Нижние Услы - Чуртан;29;43
Персп Стерлитамак - Услыбаш - Константиноградовка;38;46,8
ПН 317д Уфа (Южный АВ) - Сады «Родник»;36;49,4
ПН Кумертау - Мурапталово;36;43
ПН Кумертау - Свобода;36;43
ПН Кумертау - Якшимбет;35;43
ПН Стерлитамак - Айгулево;27;43
ПН Стерлитамак - Аючево;27;43
ПН Стерлитамак - Дергачевка;36;43,7
ПН Стерлитамак - Куганак;30;52,4
ПН Стерлитамак - Кунакбаево;30;43,2
ПН Стерлитамак - Кучербаево;30;43
ПН Стерлитамак - Николаевка;27;43
ПН Стерлитамак - Талалаевка;30;43,4
