М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
П 110С  Уфа (Уфимский Док) - Аэропорт;"Уфимский ДОК, Ул. Транспортная, Ул. Мушникова, Гимназия №121, Бульвар Баландина, Ул. Кольцова, Богородско-Уфимский храм, Ул. Ферина, Заводоуправление УМПО, Ул. С. Богородская, ТЭЦ-2, ""АТП """"Крупнопанельное домостроение"""""", Ул. А. Королева, ""ДЮЦ """"Салям"""""", Ателье мод, Ул. Максима Рыльского, Ул. Юрия Гагарина, ""Супермаркет """"Матрица"""""", Ул. Маршала Жукова, Ул. Баязита Бикбая, Тужиловка, Октябрьское РУВД, Ипподром Акбузат, ""ТЦ """"Башкортостан"""""", Трамплин, ""СК """"Ак Йорт"""""", Заповедник, Республиканский выставочный комплекс, Лесная, ""Сан. """"Зеленая роща"""""", УКБДМК, Детская клиническая больница, Институт профзаболеваний, Ул. Рабкоров, Молодежная аллея, Ул. Степана Кувыкина, Ул. Софьи Перовской, Ул. Некрасова, ""Мечеть """"Ихлас"""""", Ул. Сочинская, Монумент Дружбы, Ул. Школьная, Кооперативная поляна, Икеа, Озёрная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Металлобаза, Поворот, Поселок Аэропорт, Аэропорт МГ";"Аэропорт МГ, Поселок Аэропорт, Поворот, Металлобаза, Поселок Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Монумент Дружбы, Ул. Сочинская, ""Мечеть """"Ихлас"""""", Ул. Некрасова, Ул. Софьи Перовской, Ул. Степана Кувыкина, Молодежная аллея, Ул. Рабкоров, Институт профзаболеваний, УКБДМК, ""Сан. """"Зеленая роща"""""", Лесная, Республиканский выставочный комплекс, Заповедник, ""СК """"Ак Йорт"""""", Трамплин, ""ТЦ """"Башкортостан"""""", Ипподром Акбузат, Тужиловка, Ул. Баязита Бикбая, Ул. Маршала Жукова, ""Супермаркет """"Матрица"""""", ТК Терем, Ул. Юрия Гагарина, Ул. Максима Рыльского, Ателье мод, ""ДЮЦ """"Салям"""""", Ул. Академика Королева, ""АТП """"Крупнопанельное домостроение"""""", ТЭЦ-2, Ул. С. Богородская, Заводоуправление УМПО, Ул. Ферина, Богородско-Уфимский храм, Ул. Кольцова, Бульвар Баландина, Гимназия №121, Ул. Мушникова, Ул. Транспортная, Уфимский ДОК"
П 111 Нефтекамск - Зубовка с/о;"Нефтекамск АВ, БГУ, д. Воробьево, ""С/о """"Зеленая роща"""""", д. Зубовка, ""С/о """"Пчелка"""""", ""С/о """"Урожай"""""", ""С/о """"Медик"""""", С/огород";"С/огород, ""С/о """"Медик"""""", ""С/о """"Урожай"""""", ""С/о """"Пчелка"""""", д. Зубовка, ""С/о """"Зеленая роща"""""", д. Воробьево, БГУ, Нефтекамск АВ"
П 111 Стерлитамак - с/х Рощинский;"Стерлитамак АВ, 4-е домоуправление, ДК СК, Проспект Октября, ""Гостиница """"Ашкадар"""""", Технологический техникум, ""Завод """"СК"""""", пос. Первомайск, д. Борятино, д. Асава, ""с-з """"Рощинский""""""";"""с-з """"Рощинский"""""", д. Асава, д. Борятино, пос. Первомайск, ""Завод """"СК"""""", Технологический техникум, ""Гостиница """"Ашкадар"""""", Проспект Октября, ДК СК, 4-е домоуправление, Стерлитамак АВ"
П 111 Уфа (Фирма Мир) - Кармасан;"""Фирма """"Мир"""""", Школа №46, ""Рынок """"Зареченский"""""", Граница г. Уфа (Затон), Вавилово, Курасково, Подымалово, Волково, Шарипово, Юлушево, Кармасан";"Кармасан, Юлушево, Шарипово, Волково, Подымалово, Курасково, Вавилово, Граница г. Уфа (Затон), ""Рынок """"Зареченский"""""", Школа №46, ""Фирма """"Мир"""""""
П 111к Уфа (Южный АВ) - Сады Факел;Южный автовокзал, Граница г. Уфа (Затон), Вавилово, Курасково, Подымалово, Волково, Сады - 1, Сады Факел;Сады Факел, Сады - 1, Волково, Подымалово, Курасково, Вавилово, Граница г. Уфа (Затон), Южный автовокзал
П 112 а Стерлитамак - Сады Урняк  Кожевник;Стерлитамак АВ, ДК Сода, пос. Шахтау, Дом Отдыха, СНТ Урняк (Солнышко), Сады Цветаевка, Сады Кожевник;Сады Кожевник, Сады Цветаевка, СНТ Урняк (Солнышко), Дом Отдыха, пос. Шахтау, ДК Сода, Стерлитамак АВ
П 112 Нефтекамск - Кармановская ГРЭС;"Нефтекамск АВ, Раздолье, Комплекс, Профилакторий, ""С/о """"Белая поляна"""""", Кувакино, Карманово, ЖДВ Карманово, пос. Энергетик (Карманово), Кармановская ГРЭС";"Кармановская ГРЭС, пос. Энергетик (Карманово), ЖДВ Карманово, Карманово, Кувакино, ""С/о """"Белая поляна"""""", Профилакторий, Комплекс, Раздолье, Нефтекамск АВ"
П 112 Сибай - Туяляс (не с АВ);Сибай АВ, Казанка, Туяляс;Туяляс, Казанка, Сибай АВ
П 112 Стерлитамак - Сады Урняк Цветаевка;"""кольцо ОАО """"Сода"""""", пос. Шахтау, Дом Отдыха, СНТ Урняк (Солнышко), Сады Цветаевка";"Сады Цветаевка, СНТ Урняк (Солнышко), Дом Отдыха, пос. Шахтау, ""кольцо ОАО """"Сода"""""""
П 112 Уфа (ТК Центральный) - Миловка;"""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал, Зеленая гора, Речная, Автодром, ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, Миловка";"Миловка, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", Автодром, Речная, Зеленая гора, Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""""
